ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_joshua_tree_01d, -191.019058, -1588.73035, 33.6977463, 0.0412530228, 0.03361502, -0.299006164, 0.95276624, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_10_long_0.ymap
prop_joshua_tree_02d, -190.775558, -1588.85022, 33.7389069, -0.153454989, -0.105213992, -0.08512699, 0.9788437, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_10_long_0.ymap
prop_joshua_tree_02d, -73.90962, -1494.97778, 31.9232178, 0.011657997, 0.05875198, -0.09437998, 0.99373275, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_12_long_0.ymap
prop_joshua_tree_01d, -74.13015, -1494.8772, 31.7943878, 0.105166033, 0.09214803, -0.396513134, 0.9073181, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_12_long_0.ymap
prop_joshua_tree_01b, -25.31818, -1574.33521, 28.2687836, -0.007336003, -0.00185800064, 0.7528923, 0.658100247, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_12_long_0.ymap
prop_joshua_tree_01b, -25.4369755, -1573.98523, 28.27504, 0.002563, 0.158420056, 0.898347259, -0.409718066, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_12_long_0.ymap
prop_joshua_tree_01d, -25.6471577, -1574.04639, 28.14746, -0.06888001, 0.07755801, 0.9935721, -0.0453300029, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_12_long_0.ymap
prop_tree_birch_03b, 512.2566, -1515.44043, 28.2670174, 0, 0, -0.35906902, 0.933311, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_15_critical_0.ymap
prop_tree_birch_03b, 504.694733, -1527.92419, 28.1786156, 0.0349890068, 0.04801701, -0.0986680239, 0.993345261, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_15_critical_0.ymap
prop_joshua_tree_01b, 56.8533745, -1543.46436, 28.4579048, 0, 0, 0, 1, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_18_long_0.ymap
prop_joshua_tree_01b, 78.1288147, -1534.9342, 28.4579048, 0, 0, 0, 1, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_18_long_0.ymap
prop_joshua_tree_01b, 17.7239532, -1615.643, 28.2755814, 0, 0, 0, 1, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_18_long_0.ymap
prop_joshua_tree_01c, 240.882156, -1693.31677, 28.2937088, 0, 0, 0.8870107, -0.4617488, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_23_long_0.ymap
